date,close,volume
2023-01-06,"1,850.4",74.73K
2023-01-09,"1,866.8",216.52K
2023-01-10,"1,870.0",195.54K
2023-01-11,"1,909.0",307.07K
2023-01-12,"1,897.8",203.03K
2023-01-13,"1,912.0",208.34K
2023-01-16,"1,953.8",314.69K
2023-01-17,"1,889.6",533.20K
2023-01-18,"1,906.6",408.58K
2023-01-19,"1,882.4",196.33K
2023-01-20,"1,904.8",308.45K
2023-01-23,"1,945.0",338.80K
2023-01-24,"1,919.8",422.88K
2023-01-25,"1,914.8",237.59K
2023-01-26,"1,902.8",250.60K
2023-01-27,"1,912.0",154.61K
2023-01-30,"1,934.0",188.92K
2023-01-31,"2,047.2",1.19M
2023-02-01,"2,088.0",1.73M
2023-02-02,"2,075.0",420.35K
2023-02-03,"2,055.8",538.46K
2023-02-06,"2,094.6",764.67K
2023-02-07,"2,076.6",442.89K
2023-02-08,"2,060.2",421.58K
2023-02-09,"2,040.4",246.71K
2023-02-10,"2,060.8",322.54K
2023-02-13,"2,065.2",399.73K
2023-02-14,"2,028.6",796.13K
2023-02-15,"1,969.2",1.84M
2023-02-16,"1,976.4",626.50K
2023-02-17,"1,971.0",332.34K
2023-02-20,"1,958.0",449.06K
2023-02-21,"1,993.8",821.23K
2023-02-22,"1,980.4",242.29K
2023-02-24,"1,986.6",144.99K
2023-02-27,"2,007.4",669.64K
2023-02-28,"2,015.0",354.00K
2023-03-01,"2,033.8",343.55K
2023-03-02,"1,970.8",1.22M
2023-03-03,"1,984.2",355.87K
2023-03-06,"1,973.0",591.45K
2023-03-07,"1,961.8",338.37K
2023-03-09,"1,942.0",465.67K
2023-03-10,"1,917.0",481.03K
2023-03-13,"1,907.4",680.35K
2023-03-14,"1,901.2",384.09K
2023-03-15,"1,864.2",544.15K
2023-03-16,"1,851.0",1.27M
2023-03-17,"1,898.0",674.29K
2023-03-20,"1,910.0",666.19K
2023-03-21,"1,887.6",464.58K
2023-03-22,"1,887.8",368.75K
2023-03-23,"1,902.0",264.22K
2023-03-24,"1,886.4",183.60K
2023-03-27,"1,919.6",370.71K
2023-03-28,"1,929.6",353.81K
2023-03-29,"1,919.6",271.67K
2023-03-30,"1,917.4",230.39K
2023-03-31,"1,901.6",304.84K
2023-04-03,"1,913.0",225.47K
2023-04-04,"1,905.0",345.79K
2023-04-05,"1,907.2",201.80K
2023-04-06,"1,912.8",422.19K
2023-04-07,"1,919.8",196.36K
2023-04-10,"1,993.0",1.39M
2023-04-11,"1,952.2",1.08M
2023-04-12,"1,953.6",309.95K
2023-04-13,"1,954.0",243.76K
2023-04-14,"1,945.0",178.52K
2023-04-17,"1,964.8",334.70K
2023-04-18,"1,981.4",422.96K
2023-04-19,"1,989.6",1.01M
2023-04-20,"2,098.6",1.93M
2023-04-21,"2,086.8",1.23M
2023-04-24,"2,080.0",506.60K
2023-04-25,"2,059.4",408.51K
2023-04-26,"2,113.0",1.09M
2023-04-27,"2,101.6",1.69M
2023-04-28,"2,070.6",626.66K
2023-05-02,"2,015.0",1.01M
2023-05-03,"1,930.4",1.08M
2023-05-04,"1,979.6",712.32K
2023-05-05,"1,948.0",426.61K
2023-05-08,"1,943.0",166.17K
2023-05-10,"2,008.8",657.35K
2023-05-11,"2,007.2",1.24M
2023-05-12,"2,012.0",355.08K
2023-05-15,"2,049.6",414.17K
2023-05-16,"2,045.6",370.19K
2023-05-17,"2,058.0",453.02K
2023-05-18,"2,032.8",443.68K
2023-05-19,"2,223.2",6.56M
2023-05-22,"2,300.0",3.77M
2023-05-23,"2,242.8",1.43M
2023-05-24,"2,220.0",1.04M
2023-05-25,"2,350.0",3.41M
2023-05-26,"2,322.0",1.09M
2023-05-29,"2,390.0",1.49M
2023-05-30,"2,303.6",1.70M
2023-05-31,"2,324.2",1.04M
2023-06-01,"2,313.4",659.18K
2023-06-02,"2,343.6",557.31K
2023-06-05,"2,305.8",929.86K
2023-06-06,"2,323.2",685.50K
2023-06-07,"2,425.4",1.49M
2023-06-08,"2,520.0",2.59M
2023-06-09,"2,506.6",1.36M
2023-06-13,"2,566.8",947.74K
2023-06-14,"2,620.0",1.54M
2023-06-15,"2,600.0",1.33M
2023-06-16,"2,547.0",2.37M
2023-06-19,"2,510.4",1.03M
2023-06-20,"2,510.6",834.07K
2023-06-21,"2,529.6",508.84K
2023-06-22,"2,492.6",463.16K
2023-06-23,"2,393.4",1.87M
2023-06-26,"2,379.0",1.93M
2023-06-27,"2,431.4",961.89K
2023-06-28,"2,462.0",879.77K
2023-06-29,"2,468.6",498.11K
2023-06-30,"2,439.6",395.91K
2023-07-03,"2,402.8",683.15K
2023-07-04,"2,366.0",788.58K
2023-07-05,"2,403.6",479.32K
2023-07-06,"2,390.2",493.09K
2023-07-07,"2,365.6",713.31K
2023-07-10,"2,407.6",763.29K
2023-07-11,"2,462.0",777.46K
2023-07-12,"2,445.0",643.43K
2023-07-13,"2,464.6",673.64K
2023-07-14,"2,555.0",1.75M
2023-07-17,"2,538.4",1.40M
2023-07-18,"2,590.0",1.11M
2023-07-19,"2,571.6",951.27K
2023-07-20,"2,492.2",1.18M
2023-07-21,"2,532.0",672.09K
2023-07-24,"2,630.0",1.38M
2023-07-25,"2,642.6",1.33M
2023-07-26,"2,655.2",1.11M
2023-07-27,"2,630.0",1.78M
